"appId","label","title","developer","score","ratings","reviews","histogram","installs","minInstalls","maxInstalls","price","free","genre","updated","version","androidVersion","url","locale","collectedReviews","collectedNegativeReviews","collectedScoreCounts","scrapeErrors"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","Home Loan Calculator, Malaysia","AppNextDoor Labs","4.47","157","32","[object Object]","50,000+","50000","82636","0","true","Finance","1715579343000","2.0.1","8.0","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&hl=en&gl=my","en-my","27","8","[object Object]",""
"com.agmostudio.myhomeloancalculator.my","Malaysia Home Loan Calculator","Malaysia Home Loan Calculator","Agmo Studio Sdn Bhd","4.5454545","11","2","[object Object]","10,000+","10000","17797","0","true","House & Home","1741685154000","2.0.3","5.0","https://play.google.com/store/apps/details?id=com.agmostudio.myhomeloancalculator.my&hl=en&gl=my","en-my","2","1","[object Object]",""
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","Property Calculator Malaysia","Syncteq Development","4.8333335","2152","694","[object Object]","100,000+","100000","169779","0","true","House & Home","1767078797000","66.12.25","7.0","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&hl=en&gl=my","en-my","680","12","[object Object]",""
"com.propertyXMalaysiaHomeLoan","PropertyX Malaysia Home Loan","PropertyX Malaysia Home Loan","Kuo Ching, Liew","4.4347825","77","31","[object Object]","10,000+","10000","45983","0","true","Business","1781281503000","26.4.21","7.0","https://play.google.com/store/apps/details?id=com.propertyXMalaysiaHomeLoan&hl=en&gl=my","en-my","34","4","[object Object]",""
"com.yestronic.loan","Yest Loan Calculator","Loan Calculator Malaysia","yestronic",,,,"[object Object]","1,000+","1000","2570","0","true","Finance","1696735058000","1.0.2","8.0","https://play.google.com/store/apps/details?id=com.yestronic.loan&hl=en&gl=my","en-my","0","0","[object Object]",""
"com.yestronic.homeloan","Yest Home Loan Calculator","Malaysia Home Loan Calculator","yestronic",,,,"[object Object]","5,000+","5000","5664","0","true","Finance","1708352852000","1.0.5","8.0","https://play.google.com/store/apps/details?id=com.yestronic.homeloan&hl=en&gl=my","en-my","0","0","[object Object]",""
