"appId","appLabel","collectedReviews","avgScore","negativeReviews","positiveReviews","neutralReviews","ads","accuracy","reliability","reporting","ux","updates","easy_useful","agent_workflow","feature_depth"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","27","3.7777777777777777","8","19","0","3","0","2","0","1","1","14","0","0"
"com.agmostudio.myhomeloancalculator.my","Malaysia Home Loan Calculator","2","3","1","1","0","1","0","1","0","0","0","0","0","0"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","680","4.738235294117647","12","654","14","43","12","3","10","4","21","496","47","75"
"com.propertyXMalaysiaHomeLoan","PropertyX Malaysia Home Loan","34","4.264705882352941","4","27","3","7","7","1","0","2","6","21","3","10"
