"appId","appLabel","date","score","sentiment","themes","text","url"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2026-01-29T02:52:57.385Z","4","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=9de152da-7dca-4486-8b8b-3b01d4a10d2a"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2023-02-22T14:31:22.266Z","2","negative","ads","Please remove ads!!","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=8a4bf93c-eb63-4ca8-b5d7-1987f04dcf06"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2023-01-17T23:46:44.397Z","1","negative","ads","Unremoval ads, uninstall","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=12050e2e-2ec6-4d23-8feb-eebeb82a9a17"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2022-11-04T05:33:30.196Z","5","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=7da91a4f-1424-46fa-a850-a7e34663c087"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2022-04-10T10:36:54.570Z","5","positive","easy_useful","Good!","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=2a17e420-5c11-4d6b-b542-e359924c4e35"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2022-01-16T08:28:52.277Z","5","positive","easy_useful","Good to use apps","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=d1778abb-770e-4af1-aaaa-c5953697a6d3"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2021-09-24T06:28:39.544Z","5","positive","easy_useful","Easy to use","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=ad5b51fe-0292-4898-8657-21f5845121ec"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2021-01-13T04:36:30.181Z","1","negative","reliability","Crashes they time I open it","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=36a712b7-f3d5-4b82-866c-9b50e4bd7f17"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2020-12-08T12:57:24.964Z","1","negative","ux;updates","Please update your version to latest. In Apple apps store there have button at below, but not in android version","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=7c392290-c5e6-4d31-924a-b9d656b6ae0a"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2020-07-20T17:35:14.301Z","1","negative","ads","nonsense ads","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=897586a1-863c-44e4-a971-09e7718b56a7"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2020-07-13T08:56:14.274Z","5","positive","easy_useful","Tq so easy","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=046a4268-797d-422c-8f9f-09b98060a361"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2020-06-26T10:51:00.469Z","5","positive","easy_useful","Good app","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=5d75b5bd-94f7-48e0-908f-b6afae155c5d"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2020-06-03T10:26:54.348Z","5","positive","easy_useful","Very nice app","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=d14ef96e-668b-49fa-93aa-a762304896ac"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2020-03-08T10:06:45.110Z","5","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=4a757d57-4e5b-47b3-b791-d83eff2a18ae"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2020-01-26T01:10:43.921Z","5","positive","easy_useful","Nice apps","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=eead1395-d38d-4230-b78f-64ea0c364705"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2020-01-26T00:43:05.421Z","1","negative","reliability","Keep crashing... unable to use it","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=9e55ab4d-a525-45db-a180-8a6e3c3ab9ec"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2019-11-09T07:53:11.286Z","5","positive","easy_useful","Simple","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=2fd3e276-467d-4ea4-86e2-8cd699b2c0fb"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2019-09-04T11:34:20.523Z","4","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=3edc4117-3385-46ec-b4a6-a390f37e89a1"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2019-08-19T23:22:14.159Z","5","positive","easy_useful","quick-to-use calculator with mrta included. simple and straight to the point.","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=c11bc325-a15f-4917-96c7-4571716d56c9"
"com.appnextdoor.homeloancalculator","Home Loan Calculator Malaysia","2019-07-01T08:33:04.210Z","5","positive","easy_useful","nice","https://play.google.com/store/apps/details?id=com.appnextdoor.homeloancalculator&reviewId=5d560464-d08c-4b5c-8b37-b53a6ef13f6d"
"com.agmostudio.myhomeloancalculator.my","Malaysia Home Loan Calculator","2024-07-31T10:56:33.202Z","1","negative","ads;reliability","Slow loading and legal calculator not working","https://play.google.com/store/apps/details?id=com.agmostudio.myhomeloancalculator.my&reviewId=3741c431-866e-4803-822d-cd670b98348f"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2026-03-14T09:09:12.527Z","5","positive","easy_useful","Good functions, useful tools all in compact app.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=17732242-6527-4609-94c2-e3b194c8a9b7"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2026-03-14T08:18:42.450Z","5","positive","easy_useful","The best","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=b26247ef-9cc1-4e46-841e-7275fc08602f"
